Nombre,Pa�s,Pies,Coordenadas
Nevado Ojos del Salado, Argentina Chile,6891 (22 608 pies),"27°06′35″S 68°32′29″O﻿ / ﻿-27.10972, -68.54139"
Monte Pissis, Argentina,6795 (22 293 pies),"27°45′16.6″S 68°47′55.8″O﻿ / ﻿-27.754611, -68.798833"
Cerro Bonete Chico, Argentina,6759 (22 175 pies),"27°52′0″S 68°49′0″O﻿ / ﻿-27.86667, -68.81667"
Nevado Tres Cruces Sur, Argentina Chile,6748 (22 139 pies),"27°05′53″S 68°46′41″O﻿ / ﻿-27.09806, -68.77806"
Volcán Llullaillaco, Argentina Chile,6739 (22 109 pies),"24°43′47″S 68°32′45″O﻿ / ﻿-24.72972, -68.54583"
Volcán Walther Penck, Argentina,6658 (21 843 pies),"27°12′0″S 68°33′0″O﻿ / ﻿-27.20000, -68.55000"
Volcán Incahuasi, Argentina Chile,6638 (21 778 pies),"27°02′0″S 68°18′0″O﻿ / ﻿-27.03333, -68.30000"
Nevado Tres Cruces Central, Argentina Chile,6629 (21 749 pies),"27°04′07″S 68°47′11″O﻿ / ﻿-27.06861, -68.78639"
Volcán Tupungato, Argentina Chile,6570 (21 555 pies),"33°21′21″S 69°46′10.2″O﻿ / ﻿-33.35583, -69.769500"
Nevado Sajama, Bolivia,6542 (21 463 pies),"18°06′14″S 68°52′53″O﻿ / ﻿-18.10389, -68.88139"
Volcán Ata, Argentina Chile,6501 (21 328 pies),"27°10′55″S 68°34′34″O﻿ / ﻿-27.18194, -68.57611"
