UBIGEO,REGI�N,PROVINCIA,DISTRITO,NO_NAC,SI_VIV,NO_VIV,TOTAL_PDB
010101,Amazonas,Chachapoyas,Chachapoyas,2633,22774,7182,32589
010102,Amazonas,Chachapoyas,Asunción,22,220,20,262
010103,Amazonas,Chachapoyas,Balsas,111,938,87,1136
010104,Amazonas,Chachapoyas,Cheto,44,533,65,642
010105,Amazonas,Chachapoyas,Chiliquin,49,483,53,585
010106,Amazonas,Chachapoyas,Chuquibamba,184,1472,125,1781
010107,Amazonas,Chachapoyas,Granada,31,423,26,480
010108,Amazonas,Chachapoyas,Huancas,31,684,543,1258
010109,Amazonas,Chachapoyas,La Jalca,408,3416,154,3978
010110,Amazonas,Chachapoyas,Leimebamba,284,2850,486,3620
010111,Amazonas,Chachapoyas,Levanto,72,648,74,794
010112,Amazonas,Chachapoyas,Magdalena,79,645,128,852
010113,Amazonas,Chachapoyas,Mariscal Castilla,113,1021,233,1367
010114,Amazonas,Chachapoyas,Molinopampa,165,1782,229,2176
010115,Amazonas,Chachapoyas,Montevideo,40,403,53,496
010116,Amazonas,Chachapoyas,Olleros,29,305,41,375
010117,Amazonas,Chachapoyas,Quinjalca,51,713,5,769
010118,Amazonas,Chachapoyas,San Francisco de Daguas,14,214,67,295
010119,Amazonas,Chachapoyas,San Isidro de Maino,48,488,44,580
010120,Amazonas,Chachapoyas,Soloco,87,1077,60,1224
010121,Amazonas,Chachapoyas,Sonche,24,206,17,247
010201,Amazonas,Bagua,Bagua,2200,21740,3162,27102
010202,Amazonas,Bagua,Aramango,986,8391,388,9765
010203,Amazonas,Bagua,Copallin,336,4079,180,4595
010204,Amazonas,Bagua,El Parco,106,1065,45,1216
010205,Amazonas,Bagua,Imaza,3587,20563,1012,25162
010206,Amazonas,Bagua,La Peca,546,5299,415,6260
010301,Amazonas,Bongara,Jumbilla,94,1047,196,1337
010302,Amazonas,Bongara,Chisquilla,31,223,52,306
010303,Amazonas,Bongara,Churuja,23,195,69,287
010304,Amazonas,Bongara,Corosha,95,586,91,772
010305,Amazonas,Bongara,Cuispes,47,569,53,669
010306,Amazonas,Bongara,Florida,540,4731,728,5999
010307,Amazonas,Bongara,Jazan,577,5761,1242,7580
010308,Amazonas,Bongara,Recta,17,172,19,208
010309,Amazonas,Bongara,San Carlos,27,440,22,489
010310,Amazonas,Bongara,Shipasbamba,146,1266,127,1539
010311,Amazonas,Bongara,Valera,65,705,104,874
010312,Amazonas,Bongara,Yambrasbamba,564,4450,563,5577
010401,Amazonas,Condorcanqui,Nieva,2823,14927,876,18626
010402,Amazonas,Condorcanqui,El Cenepa,1531,8263,97,9891
010403,Amazonas,Condorcanqui,Rio Santiago,2339,11518,96,13953
010501,Amazonas,Luya,Lamud,147,1730,350,2227
010502,Amazonas,Luya,Camporredondo,755,5244,474,6473
010503,Amazonas,Luya,Cocabamba,229,1578,74,1881
010504,Amazonas,Luya,Colcamar,158,1610,85,1853
010505,Amazonas,Luya,Conila,164,1599,77,1840
010506,Amazonas,Luya,Inguilpata,20,453,25,498
010507,Amazonas,Luya,Longuita,88,721,30,839
010508,Amazonas,Luya,Lonya Chico,62,730,50,842
010509,Amazonas,Luya,Luya,333,3229,397,3959
010510,Amazonas,Luya,Luya Viejo,45,324,19,388
010511,Amazonas,Luya,María,62,628,54,744
010512,Amazonas,Luya,Ocalli,341,2877,338,3556
010513,Amazonas,Luya,Ocumal,330,2942,174,3446
010514,Amazonas,Luya,Pisuquia,495,4104,169,4768
010515,Amazonas,Luya,Providencia,121,1116,79,1316
010516,Amazonas,Luya,San Cristobal,48,471,27,546
010517,Amazonas,Luya,San Francisco del Yeso,70,565,60,695
010518,Amazonas,Luya,San Jerónimo,43,554,36,633
010519,Amazonas,Luya,San Juan de Lopecancha,44,346,29,419
010520,Amazonas,Luya,Santa Catalina,232,1514,142,1888
010521,Amazonas,Luya,Santo Tomas,282,2513,217,3012
010522,Amazonas,Luya,Tingo,123,981,161,1265
010523,Amazonas,Luya,Trita,133,1112,103,1348
010601,Amazonas,Rodríguez de Mendoza,San Nicolás,462,4277,1277,6016
010602,Amazonas,Rodríguez de Mendoza,Chirimoto,305,1919,274,2498
010603,Amazonas,Rodríguez de Mendoza,Cochamal,50,498,47,595
010604,Amazonas,Rodríguez de Mendoza,Huambo,134,2334,152,2620
010605,Amazonas,Rodríguez de Mendoza,Limabamba,189,1964,127,2280
010606,Amazonas,Rodríguez de Mendoza,Longar,122,1285,224,1631
010607,Amazonas,Rodríguez de Mendoza,Mariscal Benavides,116,1167,223,1506
